,Risk-Free Rate
2008-01-31,0.0023
2008-02-29,0.0013666666666666664
2008-03-31,0.001725
2008-04-30,0.0010166666666666666
2008-05-30,0.0010166666666666666
2008-06-30,0.0016499999999999998
2008-07-31,0.0013333333333333333
2008-08-29,0.0013333333333333333
2008-09-30,0.0013583333333333331
2008-10-31,0.0008500000000000001
2008-11-28,0.0008500000000000001
2008-12-31,1.6666666666666667e-05
2009-01-30,1.6666666666666667e-05
2009-02-27,9.166666666666667e-05
2009-03-31,0.00013333333333333334
2009-04-30,0.00014166666666666668
2009-05-29,0.00014166666666666668
2009-06-30,0.00011666666666666668
2009-07-31,0.00014166666666666668
2009-08-31,0.00011666666666666668
2009-09-30,9.166666666666667e-05
2009-10-30,9.166666666666667e-05
2009-11-30,8.333333333333334e-06
2009-12-31,6.666666666666667e-05
2010-01-29,6.666666666666667e-05
2010-02-26,3.3333333333333335e-05
2010-03-31,7.5e-05
2010-04-30,0.000125
2010-05-28,0.000125
2010-06-30,0.000125
2010-07-30,0.000125
2010-08-31,0.00011666666666666668
2010-09-30,0.00013333333333333334
2010-10-29,0.00013333333333333334
2010-11-30,0.00011666666666666668
2010-12-31,0.00015
2011-01-31,5.833333333333334e-05
2011-02-28,0.000125
2011-03-31,0.00010833333333333333
2011-04-29,0.00010833333333333333
2011-05-31,1.6666666666666667e-05
2011-06-30,3.3333333333333335e-05
2011-07-29,3.3333333333333335e-05
2011-08-31,0.00013333333333333334
2011-09-30,8.333333333333334e-06
2011-10-31,1.6666666666666667e-05
2011-11-30,1.6666666666666667e-05
2011-12-30,1.6666666666666667e-05
2012-01-31,8.333333333333334e-06
2012-02-29,3.3333333333333335e-05
2012-03-30,3.3333333333333335e-05
2012-04-30,4.1666666666666665e-05
2012-05-31,5.833333333333334e-05
2012-06-29,5.833333333333334e-05
2012-07-31,3.3333333333333335e-05
2012-08-31,5.833333333333334e-05
2012-09-28,5.833333333333334e-05
2012-10-31,4.9999999999999996e-05
2012-11-30,7.5e-05
2012-12-31,9.166666666666667e-05
2013-01-31,1.6666666666666667e-05
2013-02-28,3.3333333333333335e-05
2013-03-28,3.3333333333333335e-05
2013-04-30,3.3333333333333335e-05
2013-05-31,2.4999999999999998e-05
2013-06-28,2.4999999999999998e-05
2013-07-31,1.6666666666666667e-05
2013-08-30,1.6666666666666667e-05
2013-09-30,1.6666666666666667e-05
2013-10-31,2.4999999999999998e-05
2013-11-29,2.4999999999999998e-05
2013-12-31,4.1666666666666665e-05
2014-01-31,8.333333333333334e-06
2014-02-28,2.4999999999999998e-05
2014-03-31,3.3333333333333335e-05
2014-04-30,2.4999999999999998e-05
2014-05-30,2.4999999999999998e-05
2014-06-30,4.1666666666666665e-05
2014-07-31,1.6666666666666667e-05
2014-08-29,1.6666666666666667e-05
2014-09-30,1.6666666666666667e-05
2014-10-31,1.6666666666666667e-05
2014-11-28,1.6666666666666667e-05
2014-12-31,3.3333333333333335e-05
2015-01-30,3.3333333333333335e-05
2015-02-27,2.4999999999999998e-05
2015-03-31,1.6666666666666667e-05
2015-04-30,4.1666666666666665e-05
2015-05-29,4.1666666666666665e-05
2015-06-30,8.333333333333334e-06
2015-07-31,1.6666666666666667e-05
2015-08-31,3.3333333333333335e-05
2015-09-30,0.0
2015-10-30,0.0
2015-11-30,8.333333333333334e-06
2015-12-31,9.166666666666667e-05
2016-01-29,9.166666666666667e-05
2016-02-29,0.00018333333333333334
2016-03-31,0.00019166666666666667
2016-04-29,0.00019166666666666667
2016-05-31,0.00013333333333333334
2016-06-30,0.00022500000000000002
2016-07-29,0.00022500000000000002
2016-08-31,0.00015833333333333332
2016-09-30,0.00021666666666666666
2016-10-31,0.00016666666666666666
2016-11-30,0.00016666666666666666
2016-12-30,0.00016666666666666666
2017-01-31,0.00036666666666666667
2017-02-28,0.0004166666666666667
2017-03-31,0.0003333333333333333
2017-04-28,0.0003333333333333333
2017-05-31,0.0005666666666666667
2017-06-30,0.0007166666666666667
2017-07-31,0.0007
2017-08-31,0.0008333333333333334
2017-09-29,0.0008333333333333334
2017-10-31,0.0007999999999999999
2017-11-30,0.0008249999999999999
2017-12-29,0.0008249999999999999
2018-01-31,0.0010666666666666667
2018-02-28,0.0011916666666666666
2018-03-29,0.0011916666666666666
2018-04-30,0.0013583333333333331
2018-05-31,0.0013750000000000001
2018-06-29,0.0013750000000000001
2018-07-31,0.001475
2018-08-31,0.0016166666666666666
2018-09-28,0.0016166666666666666
2018-10-31,0.0017666666666666666
2018-11-30,0.0018333333333333335
2018-12-31,0.0019249999999999998
2019-01-31,0.002033333333333333
2019-02-28,0.0020166666666666666
2019-03-29,0.0020166666666666666
2019-04-30,0.0020250000000000003
2019-05-31,0.0020250000000000003
2019-06-28,0.0020250000000000003
2019-07-31,0.0018166666666666667
2019-08-30,0.0018166666666666667
2019-09-30,0.00175
2019-10-31,0.0015916666666666666
2019-11-29,0.0015916666666666666
2019-12-31,0.0013500000000000003
2020-01-31,0.0012333333333333335
2020-02-28,0.0012333333333333335
2020-03-31,0.0012083333333333332
2020-04-30,4.1666666666666665e-05
2020-05-29,4.1666666666666665e-05
2020-06-30,0.00010833333333333333
2020-07-31,0.00010833333333333333
2020-08-31,7.5e-05
2020-09-30,6.666666666666667e-05
2020-10-30,6.666666666666667e-05
2020-11-30,6.666666666666667e-05
2020-12-31,6.666666666666667e-05
2021-01-29,6.666666666666667e-05
2021-02-26,6.666666666666667e-05
2021-03-31,3.3333333333333335e-05
2021-04-30,8.333333333333334e-06
2021-05-28,8.333333333333334e-06
2021-06-30,8.333333333333334e-06
2021-07-30,8.333333333333334e-06
2021-08-31,4.1666666666666665e-05
2021-09-30,2.4999999999999998e-05
2021-10-29,2.4999999999999998e-05
2021-11-30,4.9999999999999996e-05
2021-12-31,9.166666666666667e-05
2022-01-31,4.9999999999999996e-05
2022-02-28,2.4999999999999998e-05
2022-03-31,4.9999999999999996e-05
2022-04-29,4.9999999999999996e-05
2022-05-31,0.00030833333333333337
2022-06-30,0.0006083333333333333
2022-07-29,0.0006083333333333333
2022-08-31,0.00185
2022-09-30,0.002
2022-10-31,0.0023250000000000002
2022-11-30,0.003108333333333333
2022-12-30,0.003108333333333333
