,0
2013-03-28,0.16123161972903094
2013-05-31,0.12512311896458272
2013-07-31,0.2277188842134765
2013-09-30,0.17621613398135047
2013-11-29,0.5849048070241624
2014-01-31,0.1388565730767672
2014-03-31,0.24324275571162007
2014-05-30,0.1552128566543423
2014-07-31,0.06930339176890064
2014-09-30,0.10347104834365704
2014-11-28,0.10254166484323472
2015-01-30,0.08418768886664048
2015-03-31,0.13356845494374323
2015-05-29,0.06932900567232228
2015-07-31,0.18532325648904552
2015-09-30,0.10040312150482053
2015-11-30,0.04872660269242636
2016-01-29,0.1348604350481682
2016-03-31,0.1491705236511822
2016-05-31,0.1365054937295364
2016-07-29,0.06295456638901942
2016-09-30,0.11774526165228506
2016-11-30,0.23201119077055038
2017-01-31,0.1146102321891447
2017-03-31,0.08418997791485452
2017-05-31,0.11334021673758898
2017-07-31,0.1363353638649663
2017-09-29,0.0835333007612681
2017-11-30,0.13489422801767045
2018-01-31,0.10848540257514327
2018-03-29,0.1510826850844233
2018-05-31,0.0920183512358356
2018-07-31,0.09989599876442372
2018-09-28,0.08151842023027506
2018-11-30,0.13639750663900116
2019-01-31,0.26858135236553315
2019-03-29,0.10720017477916818
2019-05-31,0.05404616732573145
2019-07-31,0.26525776628821657
2019-09-30,0.10061443694841436
2019-11-29,0.049710482050396264
2020-01-31,0.07066559817083934
2020-03-31,0.273588656271476
2020-05-29,0.7230066935388824
2020-07-31,0.21367954969559172
2020-09-30,0.2362018069364558
2020-11-30,0.3303002301777672
2021-01-29,0.3227371250350781
2021-03-31,0.17006492817539018
2021-05-28,0.20836094963567012
2021-07-30,0.13020782277092063
2021-09-30,0.11336216469592295
2021-11-30,0.3209808451049523
2022-01-31,0.2698029732187688
2022-03-31,0.23941596063505874
2022-05-31,0.18597299835091632
2022-07-29,0.26129238322003223
2022-09-30,0.1982338543918018
2022-11-30,0.3222936208410358
